SampleSize,Confidence
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.3491875
7,0.38025
8,0.39016666666666666
9,0.407
10,0.40975
11,0.6083125
12,0.6225555555555555
13,0.6398888888888888
14,0.6432857142857142
15,0.6541875
16,0.7711818181818182
17,0.7816111111111111
18,0.7969166666666667
19,0.8018846153846154
20,0.8021111111111111
21,0.8
22,0.8797222222222222
23,0.8881666666666667
24,0.8875
25,0.8966818181818181
26,0.8933214285714286
27,0.9355
28,0.9417142857142857
29,0.9450454545454545
30,0.9445
31,0.9447222222222222
32,0.97005
